,open,high,low,close,volume,adj_close
2026-05-26,326.455,328.5,324.51,326.48,8711066,326.48
2026-05-27,325.83,331.46,325.66,327.61,5919068,327.61
2026-05-28,326.01,327.08,320.9,324.95,8110059,324.95
2026-05-29,325.5,331.67,325.3455,326.36,14106836,326.36
2026-06-01,327.26,327.86,318.68,322.77,10079269,322.77
2026-06-02,322.51,323.5,313.39,317.32,10125349,317.32
2026-06-03,317.65,317.65,309.0,312.4,8992773,312.4
2026-06-04,316.79,324.76,316.7,320.18,6981676,320.18
2026-06-05,322.4,325.9799,320.97,323.57,7176339,323.57
2026-06-08,321.35,323.92,318.43,319.67,5582015,319.67
2026-06-09,318.66,325.49,317.0,325.05,6340364,325.05
2026-06-10,326.62,326.8956,320.18,322.96,5793052,322.96
2026-06-11,322.0,323.71,317.96,319.05,5958942,319.05
2026-06-12,321.76,325.93,319.8,322.39,5543517,322.39
2026-06-15,323.36,326.435,322.75,323.82,6802995,323.82
2026-06-16,325.69,333.29,324.3751,333.12,9248402,333.12
2026-06-17,333.5,336.8199,329.97,330.38,6895230,330.38
2026-06-18,331.0,332.33,327.0,327.24,14716741,327.24
2026-06-22,328.325,333.0,325.86,326.6,15132387,326.6
2026-06-23,328.82,331.28,328.085,328.48,11113384,328.48
2026-06-24,329.0,334.8,327.215,332.23,8197208,332.23
2026-06-25,332.56,339.94,330.065,330.52,7052927,330.52
2026-06-26,332.24,339.72,331.44,336.23,16717376,336.23
2026-06-29,338.27,345.81,338.27,341.65,11710917,341.65
2026-06-30,341.76,344.29,339.08,343.09,7957940,343.09
2026-07-01,344.56,353.36,340.98,351.08,13025938,351.08
2026-07-02,352.51,362.13,352.51,362.13,9817170,362.13
2026-07-06,363.0,365.02,348.8501,357.25,11623762,357.25
2026-07-07,348.39,356.075,346.92,352.2,7332535,352.2
2026-07-08,350.295,351.6,345.69,347.53,10215164,347.53
2026-07-09,345.3,348.5,344.42,348.2,6606278,348.2
2026-07-10,350.63,351.17,345.33,348.97,4703192,348.97
2026-07-13,351.73,359.49,351.05,357.75,9964620,357.75
2026-07-14,355.77,359.94,353.68,356.02,6632406,356.02
2026-07-15,354.0,360.43,349.12,355.14,8849994,355.14
2026-07-16,358.04,365.14,357.1101,365.14,9073177,365.14
2026-07-17,363.57,364.6296,357.0,358.56,7400403,358.56
2026-07-20,357.1,363.0,356.43,360.57,7617212,360.57
2026-07-21,356.99,359.12,354.69,355.82,6027320,355.82
2026-07-22,356.57,357.53,352.27,353.42,4622156,353.42
2026-07-23,352.045,352.045,348.5,351.6,4183332,351.6
2026-07-24,353.47,355.84,351.05,355.74,4482799,355.74
2026-07-27,359.35,363.66,358.25,362.53,6632096,362.53
2026-07-28,365.06,371.16,362.7258,366.59,11061929,366.59
2026-07-29,357.0,373.97,355.48,368.73,11292745,368.73
2026-07-30,365.0,367.0,360.75,366.27,8392902,366.27
2026-07-31,363.76,366.88,360.1,366.13,7828444,366.13
2026-08-03,368.5,371.97,364.35,365.67,5521322,365.67
2026-08-04,361.76,371.11,360.0864,369.59,7416058,369.59
