,open,high,low,close,volume,adj_close
2026-06-16,81.9,81.93,77.71,78.72,65054025,78.72
2026-06-17,78.1,78.445,76.76,76.96,50338782,76.96
2026-06-18,76.93,78.235,76.12,77.38,91920414,77.38
2026-06-22,76.135,77.09,71.81,72.88,82203261,72.88
2026-06-23,73.26,73.9607,72.63,72.82,50806831,72.82
2026-06-24,72.685,73.45,71.625,71.84,48001454,71.84
2026-06-25,71.33,72.94,70.86,70.9,44581985,70.9
2026-06-26,71.69,75.2,71.53,73.81,74990265,73.81
2026-06-29,74.615,76.0689,73.73,73.78,42429603,73.78
2026-06-30,73.59,73.745,71.0,71.4,49240896,71.4
2026-07-01,72.59,74.355,72.33,74.19,43841796,74.19
2026-07-02,75.09,78.44,74.91,77.65,55541744,77.65
2026-07-06,77.075,77.84,75.71,76.02,45056559,76.02
2026-07-07,77.88,78.19,76.1,76.18,33257274,76.18
2026-07-08,76.27,76.64,74.89,75.59,34373499,75.59
2026-07-09,74.295,75.55,74.02,75.47,36305650,75.47
2026-07-10,75.44,75.6986,72.51,73.37,46713938,73.37
2026-07-13,73.9,75.45,73.71,73.83,35101790,73.83
2026-07-14,72.635,74.005,72.2775,73.53,33312090,73.53
2026-07-15,73.785,75.06,73.13,73.68,32854299,73.68
2026-07-16,73.95,74.68,72.9401,74.35,77505204,74.35
2026-07-17,65.48,69.49,65.08,68.95,142029238,68.95
2026-07-20,68.315,68.38,66.69,67.6,60669125,67.6
2026-07-21,67.42,68.75,66.725,68.67,56565791,68.67
2026-07-22,69.37,70.57,68.35,68.53,44947331,68.53
2026-07-23,68.57,69.355,67.67,68.89,45029060,68.89
2026-07-24,69.29,70.68,67.9704,70.09,37593514,70.09
2026-07-27,70.59,71.65,69.86,70.4,39090756,70.4
2026-07-28,72.07,73.755,71.23,72.39,47160167,72.39
2026-07-29,72.19,73.735,71.75,73.63,43737592,73.63
2026-07-30,71.48,73.32,70.55,73.17,54261028,73.17
2026-07-31,71.965,72.75,71.105,71.71,35847452,71.71
2026-08-03,72.77,73.95,72.18,73.33,33922299,73.33
2026-08-04,72.51,73.745,72.3,73.57,42877877,73.57
2026-08-05,75.11,75.3,73.155,74.2,28969444,74.2
2026-08-06,75.14,75.21,73.1002,73.69,28892688,73.69
2026-08-07,73.12,74.5,73.075,74.14,24818997,74.14
2026-08-10,73.795,76.32,73.57,76.29,26959937,76.29
2026-08-11,76.2,76.895,74.48,74.79,27840513,74.79
2026-08-12,74.35,74.67,73.5702,74.21,20773131,74.21
2026-08-13,76.01,78.4,75.44,78.24,41452856,78.24
2026-08-14,78.48,78.73,77.7601,78.16,26750961,78.16
2026-08-17,77.8,78.53,75.465,76.02,30752977,76.02
2026-08-18,77.425,79.0972,76.34,77.77,36151266,77.77
2026-08-19,78.245,81.16,78.1,80.22,31461785,80.22
2026-08-20,80.14,81.08,79.585,80.14,27118417,80.14
2026-08-21,80.29,80.49,79.17,79.59,23773822,79.59
2026-08-24,79.94,80.62,79.0201,80.01,21085296,80.01
2026-08-25,79.65,82.455,79.4,82.23,29461960,82.23
2026-08-26,82.05,82.42,81.295,81.46,22874878,81.46
2026-08-27,81.07,81.15,79.2801,79.84,27174438,79.84
2026-08-28,80.355,82.3535,79.95,81.72,29092685,81.72
2026-08-31,81.0,81.73,80.65,81.05,30740806,81.05
2026-09-01,80.165,82.1255,79.6,80.81,21164924,80.81
2026-09-02,80.55,83.12,80.3,82.73,21791890,82.73
