,open,high,low,close,volume,adj_close
2026-05-05,721.77,725.04,721.4898,723.77,36933226,723.77
2026-05-06,728.16,734.59,727.82,733.83,53288940,733.83
2026-05-07,735.05,736.13,729.75,731.58,51724642,731.58
2026-05-08,734.93,738.08,734.57,737.62,47227085,737.62
2026-05-11,736.45,740.79,736.45,739.3,44023951,739.3
2026-05-12,736.89,738.84,731.83,738.18,54185273,738.18
2026-05-13,738.47,743.91,735.47,742.31,44200203,742.31
2026-05-14,743.65,749.53,743.56,748.17,45307603,748.17
2026-05-15,741.79,743.46,737.96,739.17,60410771,739.17
2026-05-18,739.83,741.415,733.39,738.65,47843865,738.65
2026-05-19,734.78,737.65,731.53,733.73,54255913,733.73
2026-05-20,735.71,741.87,733.89,741.25,43381500,741.25
2026-05-21,738.64,744.87,737.03,742.72,43332225,742.72
2026-05-22,746.24,748.94,744.48,745.64,41762006,745.64
2026-05-26,750.01,752.13,748.37,750.59,41123621,750.59
2026-05-27,750.88,751.38,748.22,750.46,42106285,750.46
2026-05-28,750.25,755.15,749.23,754.6,41562563,754.6
2026-05-29,755.9,758.08,754.69,756.48,55075739,756.48
2026-06-01,755.36,760.28,754.69,758.54,43634933,758.54
2026-06-02,757.03,760.4,756.75,759.57,31581852,759.57
2026-06-03,758.15,758.8,753.57,754.24,51402518,754.24
2026-06-04,752.1,758.31,751.47,757.09,49923036,757.09
2026-06-05,752.31,752.82,735.525,737.55,93989416,737.55
2026-06-08,743.36,745.34,738.19,739.22,49319144,739.22
2026-06-09,743.63,746.9,722.59,737.05,87683517,737.05
2026-06-10,733.39,738.38,725.33,725.43,60341349,725.43
2026-06-11,728.76,740.0,724.405,737.76,86330522,737.76
2026-06-12,740.71,744.44,735.03,741.75,57079533,741.75
2026-06-15,751.85,756.68,751.76,754.83,60176425,754.83
2026-06-16,754.55,755.44,749.88,750.33,67093142,750.33
2026-06-17,751.29,752.15,739.22,740.96,85945227,740.96
2026-06-18,747.76,748.23,743.86,746.74,80875657,746.74
2026-06-22,747.7,750.18,743.13,744.39,46628074,744.39
2026-06-23,733.81,739.63,732.3,733.58,66846780,733.58
2026-06-24,735.17,739.945,730.84,733.24,57439507,733.24
2026-06-25,738.91,739.37,729.6,734.3,54128065,734.3
2026-06-26,728.945,736.53,716.58,728.99,71033969,728.99
2026-06-29,736.525,741.56,732.09,741.0,58035228,741.0
2026-06-30,741.29,748.02,740.89,746.77,55626035,746.77
2026-07-01,745.0,749.435,742.375,745.76,47100878,745.76
2026-07-02,747.4,751.31,740.03,744.78,57505953,744.78
2026-07-06,748.74,752.41,747.41,751.28,50673310,751.28
2026-07-07,750.22,750.96,745.21,747.71,41956586,747.71
