,open,high,low,close,volume,adj_close
2026-05-27,133.3,135.73,131.63,132.51,34159784,132.51
2026-05-28,133.16,145.0,133.0,143.34,52085169,143.34
2026-05-29,147.825,157.7794,145.79,156.54,92196609,156.54
2026-06-01,159.98,163.7,155.88,160.65,57653963,160.65
2026-06-02,156.69,159.55,149.8,152.17,43163088,152.17
2026-06-03,149.7,151.68,141.25,142.2,41072510,142.2
2026-06-04,145.46,146.37,140.272,141.7,40834013,141.7
2026-06-05,140.325,141.97,134.025,135.53,38283521,135.53
2026-06-08,135.68,137.76,135.28,136.47,26978870,136.47
2026-06-09,134.87,136.99,127.35,132.07,38679990,132.07
2026-06-10,129.325,133.185,128.8,130.21,30612640,130.21
2026-06-11,128.78,131.52,127.17,131.08,27554474,131.08
2026-06-12,130.915,131.09,126.65,127.99,35473588,127.99
2026-06-15,130.02,134.98,129.7,134.71,41748205,134.71
2026-06-16,134.59,134.59,129.62,133.25,30409932,133.25
2026-06-17,131.76,136.1,129.92,130.63,32290785,130.63
2026-06-18,130.84,131.43,125.01,128.47,55337987,128.47
2026-06-22,125.74,128.87,119.2,119.5,56924493,119.5
2026-06-23,120.15,120.94,116.18,116.7,44661865,116.7
2026-06-24,114.12,118.0,112.25,113.5,46520746,113.5
2026-06-25,111.38,112.15,106.37,107.27,61840143,107.27
2026-06-26,109.04,114.0799,108.47,112.93,61360496,112.93
2026-06-29,116.23,119.08,114.7,115.7,45017376,115.7
2026-06-30,114.95,118.7,114.57,116.67,38069685,116.67
2026-07-01,120.05,128.25,119.35,125.73,58561267,125.73
2026-07-02,128.99,132.88,127.95,129.3,60789443,129.3
2026-07-06,127.24,134.0693,126.64,132.54,37360073,132.54
2026-07-07,133.73,138.9,131.46,134.37,52570388,134.37
2026-07-08,129.49,132.39,126.71,132.22,40587821,132.22
2026-07-09,127.72,129.19,124.81,129.04,35286054,129.04
2026-07-10,132.14,132.28,125.77,126.79,31162959,126.79
2026-07-13,127.295,130.72,126.195,130.04,39786463,130.04
2026-07-14,123.61,135.7899,122.64,133.72,49963655,133.72
2026-07-15,134.34,136.88,132.88,133.76,26064499,133.76
2026-07-16,133.08,136.21,128.68,134.44,28951324,134.44
2026-07-17,131.785,134.7698,129.05,132.38,31875064,132.38
2026-07-20,131.88,136.62,131.82,134.85,30571324,134.85
2026-07-21,133.83,134.68,131.225,132.66,23161770,132.66
2026-07-22,132.22,132.345,123.45,124.57,38588274,124.57
2026-07-23,125.935,126.4,120.73,123.37,29757894,123.37
2026-07-24,125.165,125.31,122.02,122.92,21177012,122.92
2026-07-27,126.155,132.41,125.31,131.53,36708203,131.53
2026-07-28,125.84,127.19,117.89,123.53,43597311,123.53
2026-07-29,124.0,127.28,122.45,123.0,27207863,123.0
2026-07-30,121.14,123.6699,120.27,122.26,27801632,122.26
2026-07-31,122.29,123.39,119.62,123.06,29085068,123.06
2026-08-03,126.7,126.965,123.6567,125.65,77282940,125.65
2026-08-04,145.145,164.52,143.28,162.66,175034726,162.66
2026-08-05,162.0,166.08,158.25,158.43,63515884,158.43
2026-08-06,155.87,158.0,152.7,155.92,41751358,155.92
2026-08-07,160.07,172.41,159.96,172.01,77579878,172.01
2026-08-10,171.01,179.6,170.87,175.23,57402657,175.23
2026-08-11,174.18,177.94,172.72,174.94,43162454,174.94
2026-08-12,174.07,175.09,168.34,171.04,35220299,171.04
2026-08-13,173.4,179.91,172.3301,179.01,36177804,179.01
